"Opportunity Stage","Estimate Name","Practice: Practice Name","Resource Role","Pricing Region: Region Name","Start Date","End Date","Hours","Actual Cost Rate (converted) Currency","Actual Cost Rate (converted)","Cost Amount (converted) Currency","Cost Amount (converted)","Net Bill Amount (converted) Currency","Net Bill Amount (converted)","Margin (%)","Margin (Amount) (converted) Currency","Margin (Amount) (converted)","Account: Account Name","Opportunity: Opportunity Name"
"Contract Negotiation","Stickers Carême","AI Studios","AI Studios - Director","France","05/05/2025","16/05/2025","3.00","USD","152.25","USD","456.76","USD","581.85","22.47","USD","342.39","APPLE FRANCE","APPLE FRANCE - CREX007 - Apple TV+ - Stickers"
"Contract Negotiation","Paid Media - Update","Paid Media","Paid Media - Manager","Israel","01/12/2025","31/10/2026","223.84","USD","42.43","USD","9497.98","USD","23778.43","60.05","USD","52252.00","Aro Shoes","IL AROS  Shoofra + Aro - Paid Media Management - Change Request"
"Contract Negotiation","Paid Media - Update","Paid Media","Paid Media - Director","Israel","01/12/2025","31/10/2026","100.00","USD","74.84","USD","7484.25","USD","18732.32","60.05","USD","52252.00","Aro Shoes","IL AROS  Shoofra + Aro - Paid Media Management - Change Request"
"Contract Negotiation","Paid Media - Update","Analytics","Analytics - Senior Manager","Israel","01/12/2025","31/10/2026","100.00","USD","59.03","USD","5903.07","USD","14782.37","60.05","USD","52252.00","Aro Shoes","IL AROS  Shoofra + Aro - Paid Media Management - Change Request"
"Contract Negotiation","Paid Media - Update","Client Management","Client Management - Director","Israel","01/12/2025","31/10/2026","100.00","USD","76.27","USD","7626.99","USD","19091.40","60.05","USD","52252.00","Aro Shoes","IL AROS  Shoofra + Aro - Paid Media Management - Change Request"
"Contract Negotiation","Paid Media - Update","Project Management","Project Management - Manager","Israel","01/12/2025","31/10/2026","100.00","USD","42.43","USD","4243.20","USD","10622.96","60.05","USD","52252.00","Aro Shoes","IL AROS  Shoofra + Aro - Paid Media Management - Change Request"
"Scoping / Engagement","MyHospital API Tracking","Analytics","Analytics - Director","Australia","02/03/2026","29/05/2026","1.00","USD","75.79","USD","75.79","USD","266.06","72.41","USD","1995.89","Australian Institute of Health and Welfare","AU AUSM - Australian Institute of Health and Welfare - MyHospital API Tracking"
"Scoping / Engagement","MyHospital API Tracking","Analytics","Analytics - Senior Manager","Australia","02/03/2026","29/05/2026","9.00","USD","66.27","USD","596.41","USD","2183.23","72.41","USD","1995.89","Australian Institute of Health and Welfare","AU AUSM - Australian Institute of Health and Welfare - MyHospital API Tracking"
"Scoping / Engagement","MyHospital API Tracking","Client Management","Client Management - Senior Manager","Australia","02/03/2026","29/05/2026","1.00","USD","61.59","USD","61.59","USD","211.28","72.41","USD","1995.89","Australian Institute of Health and Welfare","AU AUSM - Australian Institute of Health and Welfare - MyHospital API Tracking"
"Scoping / Engagement","MyHospital API Tracking","Project Management","Project Management - Senior Manager","Australia","02/03/2026","29/05/2026","0.50","USD","53.50","USD","26.75","USD","95.86","72.41","USD","1995.89","Australian Institute of Health and Welfare","AU AUSM - Australian Institute of Health and Welfare - MyHospital API Tracking"
